,RC_ID,RC_Name,Classification,tr_retailN,Region,Country,AverageIMD,IMDRegional,diff_IMDRegional,r_IMDRegional,IMDNational,diff_IMDNational,r_IMDNational,whichCentroid
24,RC_EW_109,Willerby Shopping Park; East Riding of Yorkshire (Yorkshire and The Humber; England),Small Retail Park,4,Yorkshire and The Humber,England,3.692,26.00160627,-22.30960627,LESS DEPRIVED,21.66939261,-17.97739261,LESS DEPRIVED,Population-Weighted
25,RC_EW_1090,Ashgate Retail Park; Ashfield (East Midlands; England),Small Retail Park,16,East Midlands,England,20.236,20.36042069,-0.124420692,LESS DEPRIVED,21.66939261,-1.433392614,LESS DEPRIVED,Population-Weighted
26,RC_EW_1091,Kettering; Kettering (East Midlands; England),Town Centre,377,East Midlands,England,27.99177778,20.36042069,7.631357086,MORE DEPRIVED,21.66939261,6.322385164,MORE DEPRIVED,Population-Weighted
27,RC_EW_1096,Corby; Corby (East Midlands; England),Town Centre,169,East Midlands,England,36.78785714,20.36042069,16.42743645,MORE DEPRIVED,21.66939261,15.11846453,MORE DEPRIVED,Population-Weighted
28,RC_EW_11,Penzance; Cornwall (South West; England),Town Centre,361,South West,England,39.25228571,18.2526559,20.99962982,MORE DEPRIVED,21.66939261,17.5828931,MORE DEPRIVED,Population-Weighted
29,RC_EW_1103,Phoenix Parkway Retail Park; Corby (East Midlands; England),Small Retail Park,5,East Midlands,England,35.374,20.36042069,15.01357931,MORE DEPRIVED,21.66939261,13.70460739,MORE DEPRIVED,Population-Weighted
30,RC_EW_1107,Rushden; East Northamptonshire (East Midlands; England),Town Centre,188,East Midlands,England,19.9782,20.36042069,-0.382220692,LESS DEPRIVED,21.66939261,-1.691192614,LESS DEPRIVED,Population-Weighted
31,RC_EW_111,Anlaby Retail Park; East Riding of Yorkshire (Yorkshire and The Humber; England),Small Retail Park,14,Yorkshire and The Humber,England,15.995,26.00160627,-10.00660627,LESS DEPRIVED,21.66939261,-5.674392614,LESS DEPRIVED,Population-Weighted
32,RC_EW_1112,Kettering Retail Park; Kettering (East Midlands; England),Small Retail Park,7,East Midlands,England,47.989,20.36042069,27.62857931,MORE DEPRIVED,21.66939261,26.31960739,MORE DEPRIVED,Geometric
33,RC_EW_1114,Wellingborough; Wellingborough (East Midlands; England),Town Centre,311,East Midlands,England,27.3434,20.36042069,6.982979308,MORE DEPRIVED,21.66939261,5.674007386,MORE DEPRIVED,Population-Weighted
34,RC_EW_1115,Castlefields Retail Park; Wellingborough (East Midlands; England),Small Retail Park,9,East Midlands,England,31.7925,20.36042069,11.43207931,MORE DEPRIVED,21.66939261,10.12310739,MORE DEPRIVED,Geometric
35,RC_EW_1118,Market Harborough; Harborough (East Midlands; England),Town Centre,335,East Midlands,England,10.03777778,20.36042069,-10.32264291,LESS DEPRIVED,21.66939261,-11.63161484,LESS DEPRIVED,Population-Weighted
36,RC_EW_1119,Weston Favell Shopping Centre; Northampton (East Midlands; England),Large Retail Park,81,East Midlands,England,11.339,20.36042069,-9.021420692,LESS DEPRIVED,21.66939261,-10.33039261,LESS DEPRIVED,Population-Weighted
37,RC_EW_1122,Oakham; Rutland (East Midlands; England),Town Centre,171,East Midlands,England,7.447,20.36042069,-12.91342069,LESS DEPRIVED,21.66939261,-14.22239261,LESS DEPRIVED,Population-Weighted
38,RC_EW_1125,Boston; Boston (East Midlands; England),Town Centre,397,East Midlands,England,27.01928571,20.36042069,6.658865022,MORE DEPRIVED,21.66939261,5.349893101,MORE DEPRIVED,Population-Weighted
39,RC_EW_113,Hallgate; Cottingham; East Riding of Yorkshire (Yorkshire and The Humber; England),Local Centre,119,Yorkshire and The Humber,England,8.037,26.00160627,-17.96460627,LESS DEPRIVED,21.66939261,-13.63239261,LESS DEPRIVED,Population-Weighted
40,RC_EW_1134,Belgrave Retail Park; Fenland (East of England; England),Small Retail Park,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,RC_EW_1135,Wisbech; Fenland (East of England; England),Town Centre,251,East of England,England,35.64366667,17.34827615,18.29539052,MORE DEPRIVED,21.66939261,13.97427405,MORE DEPRIVED,Population-Weighted
42,RC_EW_1139,High Street; March; Fenland (East of England; England),Local Centre,148,East of England,England,23.91633333,17.34827615,6.568057185,MORE DEPRIVED,21.66939261,2.24694072,MORE DEPRIVED,Population-Weighted
43,RC_EW_1140,Campbells Meadow Retail Park; King's Lynn and West Norfolk (East of England; England),Large Retail Park,30,East of England,England,25.228,17.34827615,7.879723852,MORE DEPRIVED,21.66939261,3.558607386,MORE DEPRIVED,Geometric
44,RC_EW_1141,King's Lynn; King's Lynn and West Norfolk (East of England; England),Major Town Centre,366,East of England,England,37.288,17.34827615,19.93972385,MORE DEPRIVED,21.66939261,15.61860739,MORE DEPRIVED,Population-Weighted
45,RC_EW_1144,St. Nicholas Retail Park; King's Lynn and West Norfolk (East of England; England),Small Retail Park,17,East of England,England,46.16566667,17.34827615,28.81739052,MORE DEPRIVED,21.66939261,24.49627405,MORE DEPRIVED,Population-Weighted
46,RC_EW_1145,High Street; Downham Market; King's Lynn and West Norfolk (East of England; England),Local Centre,115,East of England,England,21.4885,17.34827615,4.140223852,MORE DEPRIVED,21.66939261,-0.180892614,LESS DEPRIVED,Population-Weighted
47,RC_EW_1149,Southgate; Sleaford; North Kesteven (East Midlands; England) - 1,Local Centre,130,East Midlands,England,26.3805,20.36042069,6.020079308,MORE DEPRIVED,21.66939261,4.711107386,MORE DEPRIVED,Population-Weighted
48,RC_EW_1151,Newark-on-Trent; Newark and Sherwood (East Midlands; England),Town Centre,423,East Midlands,England,23.291625,20.36042069,2.931204308,MORE DEPRIVED,21.66939261,1.622232386,MORE DEPRIVED,Population-Weighted
49,RC_EW_1152,Grantham; South Kesteven (East Midlands; England),Market Town,295,East Midlands,England,25.56433333,20.36042069,5.203912641,MORE DEPRIVED,21.66939261,3.89494072,MORE DEPRIVED,Population-Weighted
50,RC_EW_1156,Lincoln; Lincoln (East Midlands; England),Major Town Centre,522,East Midlands,England,25.63263636,20.36042069,5.272215671,MORE DEPRIVED,21.66939261,3.96324375,MORE DEPRIVED,Population-Weighted
51,RC_EW_116,Hull; Kingston upon Hull (Yorkshire and The Humber; England),Major Town Centre,730,Yorkshire and The Humber,England,60.42266667,26.00160627,34.4210604,MORE DEPRIVED,21.66939261,38.75327405,MORE DEPRIVED,Population-Weighted
52,RC_EW_1162,Tritton Retail Park; Lincoln (East Midlands; England),Small Retail Park,9,East Midlands,England,20.65,20.36042069,0.289579308,MORE DEPRIVED,21.66939261,-1.019392614,LESS DEPRIVED,Population-Weighted
53,RC_EW_1163,High Street; St Catherines; Lincoln (East Midlands; England),District Centre,150,East Midlands,England,28.67866667,20.36042069,8.318245975,MORE DEPRIVED,21.66939261,7.009274053,MORE DEPRIVED,Population-Weighted
54,RC_EW_117,Newland Avenue; Newland; City of Kingston upon Hull (Yorkshire and The Humber; England),District Centre,166,Yorkshire and The Humber,England,31.1371,26.00160627,5.135493729,MORE DEPRIVED,21.66939261,9.467707386,MORE DEPRIVED,Population-Weighted
55,RC_EW_1170,Parkway Shopping Centre; Middlesbrough (North East; England),Large Retail Park,50,North East,England,35.4505,28.14531563,7.305184369,MORE DEPRIVED,21.66939261,13.78110739,MORE DEPRIVED,Population-Weighted
56,RC_EW_1172,Westgate; Guisborough; Redcar and Cleveland (North East; England),Market Town,162,North East,England,29.8172,28.14531563,1.671884369,MORE DEPRIVED,21.66939261,8.147807386,MORE DEPRIVED,Population-Weighted
57,RC_EW_1176,Whitby; Scarborough (Yorkshire and The Humber; England),Market Town,256,Yorkshire and The Humber,England,35.15833333,26.00160627,9.156727063,MORE DEPRIVED,21.66939261,13.48894072,MORE DEPRIVED,Population-Weighted
58,RC_EW_1177,Church Street; Whitby; Scarborough (Yorkshire and The Humber; England),Local Centre,122,Yorkshire and The Humber,England,35.15833333,26.00160627,9.156727063,MORE DEPRIVED,21.66939261,13.48894072,MORE DEPRIVED,Population-Weighted
59,RC_EW_1178,Redcar; Redcar and Cleveland (North East; England),Town Centre,346,North East,England,57.871,28.14531563,29.72568437,MORE DEPRIVED,21.66939261,36.20160739,MORE DEPRIVED,Population-Weighted
60,RC_EW_1183,Middle Street South; Driffield; East Riding of Yorkshire (Yorkshire and The Humber; England),Market Town,167,Yorkshire and The Humber,England,19.30366667,26.00160627,-6.697939604,LESS DEPRIVED,21.66939261,-2.365725947,LESS DEPRIVED,Population-Weighted
61,RC_EW_1185,Malton; Ryedale (Yorkshire and The Humber; England),Town Centre,192,Yorkshire and The Humber,England,17.27875,26.00160627,-8.722856271,LESS DEPRIVED,21.66939261,-4.390642614,LESS DEPRIVED,Population-Weighted
62,RC_EW_1186,Seamer Road Retail Park; Scarborough (Yorkshire and The Humber; England),Small Retail Park,11,Yorkshire and The Humber,England,40.7,26.00160627,14.69839373,MORE DEPRIVED,21.66939261,19.03060739,MORE DEPRIVED,Geometric
63,RC_EW_1188,Market Place; Pickering; Ryedale (Yorkshire and The Humber; England),Local Centre,122,Yorkshire and The Humber,England,13.22033333,26.00160627,-12.78127294,LESS DEPRIVED,21.66939261,-8.44905928,LESS DEPRIVED,Population-Weighted
64,RC_EW_1197,High Street; Yarm; Stockton-on-Tees (North East; England),Local Centre,128,North East,England,6.1815,28.14531563,-21.96381563,LESS DEPRIVED,21.66939261,-15.48789261,LESS DEPRIVED,Population-Weighted
65,RC_EW_1200,Teesside Retail Park; Stockton-on-Tees (North East; England),Large Retail Park,40,North East,England,45.9815,28.14531563,17.83618437,MORE DEPRIVED,21.66939261,24.31210739,MORE DEPRIVED,Geometric
66,RC_EW_1201,Pavilion Shopping Centre; Stockton-on-Tees (North East; England),Large Retail Park,43,North East,England,33.82366667,28.14531563,5.678351036,MORE DEPRIVED,21.66939261,12.15427405,MORE DEPRIVED,Population-Weighted
67,RC_EW_1203,Bishop Auckland Shopping Park; County Durham (North East; England),Large Retail Park,37,North East,England,31.714,28.14531563,3.568684369,MORE DEPRIVED,21.66939261,10.04460739,MORE DEPRIVED,Geometric
68,RC_EW_1205,Bishop Auckland; County Durham (North East; England),Town Centre,289,North East,England,32.49,28.14531563,4.344684369,MORE DEPRIVED,21.66939261,10.82060739,MORE DEPRIVED,Population-Weighted
69,RC_EW_1209,Darlington; Darlington (North East; England),Major Town Centre,500,North East,England,38.82011111,28.14531563,10.67479548,MORE DEPRIVED,21.66939261,17.1507185,MORE DEPRIVED,Population-Weighted
70,RC_EW_121,Kingswood Leisure Park; City of Kingston upon Hull (Yorkshire and The Humber; England),Large Retail Park,25,Yorkshire and The Humber,England,10.06,26.00160627,-15.94160627,LESS DEPRIVED,21.66939261,-11.60939261,LESS DEPRIVED,Population-Weighted
71,RC_EW_1217,Yoden Way; Peterlee; County Durham (North East; England),Local Centre,110,North East,England,53.104,28.14531563,24.95868437,MORE DEPRIVED,21.66939261,31.43460739,MORE DEPRIVED,Population-Weighted
72,RC_EW_122,North Point Shopping Centre; City of Kingston upon Hull (Yorkshire and The Humber; England),Large Retail Park,69,Yorkshire and The Humber,England,58.409,26.00160627,32.40739373,MORE DEPRIVED,21.66939261,36.73960739,MORE DEPRIVED,Population-Weighted
73,RC_EW_1230,Middlesbrough; Middlesbrough (North East; England),Major Town Centre,634,North East,England,61.0099,28.14531563,32.86458437,MORE DEPRIVED,21.66939261,39.34050739,MORE DEPRIVED,Population-Weighted
74,RC_EW_1232,Cleveland Retail Park; Redcar and Cleveland (North East; England),Small Retail Park,17,North East,England,66.883,28.14531563,38.73768437,MORE DEPRIVED,21.66939261,45.21360739,MORE DEPRIVED,Geometric
75,RC_EW_1233,Stockton-on-Tees; Stockton-on-Tees (North East; England),Town Centre,464,North East,England,65.67733333,28.14531563,37.5320177,MORE DEPRIVED,21.66939261,44.00794072,MORE DEPRIVED,Population-Weighted
76,RC_EW_1234,Portrack Interchange Retail Park; Stockton-on-Tees (North East; England),Large Retail Park,31,North East,England,47.444,28.14531563,19.29868437,MORE DEPRIVED,21.66939261,25.77460739,MORE DEPRIVED,Geometric
77,RC_EW_1245,Teesbay Retail Park; Hartlepool (North East; England),Small Retail Park,10,North East,England,18.151,28.14531563,-9.994315631,LESS DEPRIVED,21.66939261,-3.518392614,LESS DEPRIVED,Population-Weighted
78,RC_EW_1247,Hartlepool; Hartlepool (North East; England),Town Centre,318,North East,England,47.44930769,28.14531563,19.30399206,MORE DEPRIVED,21.66939261,25.77991508,MORE DEPRIVED,Population-Weighted
79,RC_EW_125,Holderness Road; Wilmington; City of Kingston upon Hull (Yorkshire and The Humber; England),Local Centre,142,Yorkshire and The Humber,England,59.17733333,26.00160627,33.17572706,MORE DEPRIVED,21.66939261,37.50794072,MORE DEPRIVED,Population-Weighted
80,RC_EW_1252,High Street; Spennymoor; County Durham (North East; England),Market Town,151,North East,England,35.64033333,28.14531563,7.495017703,MORE DEPRIVED,21.66939261,13.97094072,MORE DEPRIVED,Population-Weighted
81,RC_EW_1253,Hope Street; Crook; County Durham (North East; England),Local Centre,123,North East,England,31.008,28.14531563,2.862684369,MORE DEPRIVED,21.66939261,9.338607386,MORE DEPRIVED,Population-Weighted
82,RC_EW_1257,Durham; County Durham (North East; England),Town Centre,366,North East,England,9.85,28.14531563,-18.29531563,LESS DEPRIVED,21.66939261,-11.81939261,LESS DEPRIVED,Population-Weighted
83,RC_EW_1262,Market Place; Thirsk; Hambleton (Yorkshire and The Humber; England),Local Centre,143,Yorkshire and The Humber,England,11.994,26.00160627,-14.00760627,LESS DEPRIVED,21.66939261,-9.675392614,LESS DEPRIVED,Population-Weighted
84,RC_EW_1268,Northallerton; Hambleton (Yorkshire and The Humber; England),Town Centre,220,Yorkshire and The Humber,England,14.76877778,26.00160627,-11.23282849,LESS DEPRIVED,21.66939261,-6.900614836,LESS DEPRIVED,Population-Weighted
85,RC_EW_127,Kingston Retail Park; City of Kingston upon Hull (Yorkshire and The Humber; England),Small Retail Park,14,Yorkshire and The Humber,England,70.596,26.00160627,44.59439373,MORE DEPRIVED,21.66939261,48.92660739,MORE DEPRIVED,Population-Weighted
86,RC_EW_1272,Filey; Scarborough (Yorkshire and The Humber; England),Local Centre,131,Yorkshire and The Humber,England,28.245,26.00160627,2.243393729,MORE DEPRIVED,21.66939261,6.575607386,MORE DEPRIVED,Population-Weighted
87,RC_EW_1274,Scarborough; Scarborough (Yorkshire and The Humber; England),Major Town Centre,878,Yorkshire and The Humber,England,43.7378,26.00160627,17.73619373,MORE DEPRIVED,21.66939261,22.06840739,MORE DEPRIVED,Population-Weighted
88,RC_EW_1279,Byron Place; County Durham (North East; England),Large Retail Park,63,North East,England,41.339,28.14531563,13.19368437,MORE DEPRIVED,21.66939261,19.66960739,MORE DEPRIVED,Population-Weighted
89,RC_EW_1290,Dalton Park Outlet; County Durham (North East; England),Large Shopping Centre,68,North East,England,19.589,28.14531563,-8.556315631,LESS DEPRIVED,21.66939261,-2.080392614,LESS DEPRIVED,Population-Weighted
90,RC_EW_1293,Sunderland; Sunderland (North East; England),Major Town Centre,631,North East,England,44.488625,28.14531563,16.34330937,MORE DEPRIVED,21.66939261,22.81923239,MORE DEPRIVED,Population-Weighted
91,RC_EW_1300,Anchor Retail Park; Hartlepool (North East; England),Small Retail Park,19,North East,England,52.678,28.14531563,24.53268437,MORE DEPRIVED,21.66939261,31.00860739,MORE DEPRIVED,Population-Weighted
92,RC_EW_1304,High Street; Hythe; Folkestone and Hythe (South East; England),District Centre,203,South East,England,19.20825,15.47743181,3.73081819,MORE DEPRIVED,21.66939261,-2.461142614,LESS DEPRIVED,Population-Weighted
93,RC_EW_1306,Cheriton High Street; Morehall; Folkestone and Hythe (South East; England),Local Centre,102,South East,England,17.7102,15.47743181,2.23276819,MORE DEPRIVED,21.66939261,-3.959192614,LESS DEPRIVED,Population-Weighted
94,RC_EW_1309,Folkestone; Folkestone and Hythe (South East; England),Town Centre,379,South East,England,38.65036364,15.47743181,23.17293183,MORE DEPRIVED,21.66939261,16.98097102,MORE DEPRIVED,Population-Weighted
95,RC_EW_1311,Ashford; Ashford (South East; England),Town Centre,266,South East,England,20.59016667,15.47743181,5.112734857,MORE DEPRIVED,21.66939261,-1.079225947,LESS DEPRIVED,Population-Weighted
96,RC_EW_1312,Ashford Designer Outlet; Ashford (South East; England),Large Shopping Centre,96,South East,England,29.0935,15.47743181,13.61606819,MORE DEPRIVED,21.66939261,7.424107386,MORE DEPRIVED,Population-Weighted
97,RC_EW_1313,Ashford Retail Park; Ashford (South East; England),Small Retail Park,14,South East,England,5.703,15.47743181,-9.77443181,LESS DEPRIVED,21.66939261,-15.96639261,LESS DEPRIVED,Population-Weighted
98,RC_EW_1314,Orbital Retail Park; Ashford (South East; England),Small Retail Park,16,South East,England,16.016,15.47743181,0.53856819,MORE DEPRIVED,21.66939261,-5.653392614,LESS DEPRIVED,Population-Weighted
99,RC_EW_1317,Riverside Retail Park; Canterbury (South East; England),Large Retail Park,67,South East,England,23.01866667,15.47743181,7.541234857,MORE DEPRIVED,21.66939261,1.349274053,MORE DEPRIVED,Population-Weighted
100,RC_EW_1318,Canterbury; Canterbury (South East; England),Major Town Centre,478,South East,England,16.874,15.47743181,1.39656819,MORE DEPRIVED,21.66939261,-4.795392614,LESS DEPRIVED,Population-Weighted
101,RC_EW_1320,Stour Retail Park; Canterbury (South East; England),Small Retail Park,11,South East,England,35.166,15.47743181,19.68856819,MORE DEPRIVED,21.66939261,13.49660739,MORE DEPRIVED,Population-Weighted
102,RC_EW_1323,Dover; Dover (South East; England),Town Centre,348,South East,England,38.400875,15.47743181,22.92344319,MORE DEPRIVED,21.66939261,16.73148239,MORE DEPRIVED,Population-Weighted
103,RC_EW_1324,Preston Street; Faversham; Swale (South East; England),Market Town,162,South East,England,13.095,15.47743181,-2.38243181,LESS DEPRIVED,21.66939261,-8.574392614,LESS DEPRIVED,Population-Weighted
104,RC_EW_1325,Northdown Road; Cliftonville; Thanet (South East; England),District Centre,157,South East,England,55.6836,15.47743181,40.20616819,MORE DEPRIVED,21.66939261,34.01420739,MORE DEPRIVED,Population-Weighted
105,RC_EW_1328,High Street; Broadstairs; Thanet (South East; England),District Centre,208,South East,England,17.527,15.47743181,2.04956819,MORE DEPRIVED,21.66939261,-4.142392614,LESS DEPRIVED,Population-Weighted
106,RC_EW_1329,Ramsgate; Thanet (South East; England),Town Centre,308,South East,England,36.93209091,15.47743181,21.4546591,MORE DEPRIVED,21.66939261,15.2626983,MORE DEPRIVED,Population-Weighted
107,RC_EW_1330,Dumpton Park Drive; Ramsgate; Thanet (South East; England),District Centre,152,South East,England,36.1612,15.47743181,20.68376819,MORE DEPRIVED,21.66939261,14.49180739,MORE DEPRIVED,Population-Weighted
108,RC_EW_1332,High Street; Margate; Thanet (South East; England),District Centre,247,South East,England,61.53525,15.47743181,46.05781819,MORE DEPRIVED,21.66939261,39.86585739,MORE DEPRIVED,Population-Weighted
109,RC_EW_1335,Margate Road; Westwood; Thanet (South East; England),Local Centre,107,South East,England,30.425,15.47743181,14.94756819,MORE DEPRIVED,21.66939261,8.755607386,MORE DEPRIVED,Population-Weighted
110,RC_EW_1339,Herne Bay; Canterbury (South East; England),Town Centre,293,South East,England,29.1245,15.47743181,13.64706819,MORE DEPRIVED,21.66939261,7.455107386,MORE DEPRIVED,Population-Weighted
111,RC_EW_1343,High Street; Deal; Dover (South East; England),Market Town,211,South East,England,17.64025,15.47743181,2.16281819,MORE DEPRIVED,21.66939261,-4.029142614,LESS DEPRIVED,Population-Weighted
112,RC_EW_1346,Uckfield; Wealden (South East; England),Town Centre,153,South East,England,10.57566667,15.47743181,-4.901765143,LESS DEPRIVED,21.66939261,-11.09372595,LESS DEPRIVED,Population-Weighted
113,RC_EW_1348,Lewes; Lewes (South East; England),Town Centre,235,South East,England,10.50385714,15.47743181,-4.973574667,LESS DEPRIVED,21.66939261,-11.16553547,LESS DEPRIVED,Population-Weighted
114,RC_EW_1358,Eastbourne; Eastbourne (South East; England),Major Town Centre,626,South East,England,28.59866667,15.47743181,13.12123486,MORE DEPRIVED,21.66939261,6.929274053,MORE DEPRIVED,Population-Weighted
115,RC_EW_1363,High Street; Hailsham; Wealden (South East; England),Market Town,153,South East,England,23.40533333,15.47743181,7.927901524,MORE DEPRIVED,21.66939261,1.73594072,MORE DEPRIVED,Population-Weighted
116,RC_EW_1364,Langney Shopping Centre; Eastbourne (South East; England),Large Retail Park,28,South East,England,38.42833333,15.47743181,22.95090152,MORE DEPRIVED,21.66939261,16.75894072,MORE DEPRIVED,Population-Weighted
117,RC_EW_1365,Sovereign Harbour Retail Park; Eastbourne (South East; England),Small Retail Park,24,South East,England,30.4525,15.47743181,14.97506819,MORE DEPRIVED,21.66939261,8.783107386,MORE DEPRIVED,Population-Weighted
118,RC_EW_1370,Burgess Hill; Mid Sussex (South East; England),Market Town,191,South East,England,9.601333333,15.47743181,-5.876098476,LESS DEPRIVED,21.66939261,-12.06805928,LESS DEPRIVED,Population-Weighted
119,RC_EW_1372,South Road; Haywards Heath; Mid Sussex (South East; England),Market Town,230,South East,England,5.223,15.47743181,-10.25443181,LESS DEPRIVED,21.66939261,-16.44639261,LESS DEPRIVED,Population-Weighted
120,RC_EW_1379,Brighton and Hove; Brighton and Hove (South East; England),Regional Centre,1568,South East,England,31.21615789,15.47743181,15.73872609,MORE DEPRIVED,21.66939261,9.546765281,MORE DEPRIVED,Population-Weighted
121,RC_EW_1385,Brighton Marina; Brighton and Hove (South East; England),Large Retail Park,64,South East,England,17.1515,15.47743181,1.67406819,MORE DEPRIVED,21.66939261,-4.517892614,LESS DEPRIVED,Population-Weighted
122,RC_EW_1388,Seaford; Lewes (South East; England),Market Town,183,South East,England,15.828,15.47743181,0.35056819,MORE DEPRIVED,21.66939261,-5.841392614,LESS DEPRIVED,Population-Weighted
123,RC_EW_1391,Fernbank Shopping Centre; Wealden (South East; England),Large Retail Park,65,South East,England,13.382,15.47743181,-2.09543181,LESS DEPRIVED,21.66939261,-8.287392614,LESS DEPRIVED,Population-Weighted
124,RC_EW_1396,Royal Tunbridge Wells; Tunbridge Wells (South East; England),Major Town Centre,665,South East,England,7.110333333,15.47743181,-8.367098476,LESS DEPRIVED,21.66939261,-14.55905928,LESS DEPRIVED,Population-Weighted
125,RC_EW_1397,High Street; Heathfield; Wealden (South East; England),Local Centre,111,South East,England,11.118,15.47743181,-4.35943181,LESS DEPRIVED,21.66939261,-10.55139261,LESS DEPRIVED,Population-Weighted
