"","RC_ID","supergroupID","supergroupName","groupID","groupName"
"73","RC_EW_1317","4","Traditional high streets and market towns","4.2","Indie high streets"
"74","RC_EW_1318","3","Leading comparison and leisure destinations","3.1","Large regional retail and leisure destinations"
"75","RC_EW_1323","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"76","RC_EW_1324","4","Traditional high streets and market towns","4.2","Indie high streets"
"77","RC_EW_1325","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"78","RC_EW_1328","4","Traditional high streets and market towns","4.2","Indie high streets"
"79","RC_EW_1329","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"80","RC_EW_1332","4","Traditional high streets and market towns","4.2","Indie high streets"
"81","RC_EW_1335","2","Retail and shopping parks","2.2","Secondary retail parks and shopping centres"
"82","RC_EW_1339","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"83","RC_EW_1343","4","Traditional high streets and market towns","4.2","Indie high streets"
"84","RC_EW_1346","4","Traditional high streets and market towns","4.2","Indie high streets"
"85","RC_EW_1348","4","Traditional high streets and market towns","4.2","Indie high streets"
"86","RC_EW_1358","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"87","RC_EW_1363","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"88","RC_EW_1370","4","Traditional high streets and market towns","4.2","Indie high streets"
"89","RC_EW_1372","4","Traditional high streets and market towns","4.2","Indie high streets"
"90","RC_EW_1379","3","Leading comparison and leisure destinations","3.1","Large regional retail and leisure destinations"
"91","RC_EW_1385","4","Traditional high streets and market towns","4.2","Indie high streets"
"92","RC_EW_1388","4","Traditional high streets and market towns","4.2","Indie high streets"
"93","RC_EW_1391","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"94","RC_EW_1396","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"95","RC_EW_1397","4","Traditional high streets and market towns","4.2","Indie high streets"
"96","RC_EW_1404","4","Traditional high streets and market towns","4.2","Indie high streets"
"97","RC_EW_141","4","Traditional high streets and market towns","4.2","Indie high streets"
"98","RC_EW_1414","4","Traditional high streets and market towns","4.2","Indie high streets"
"99","RC_EW_1416","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"100","RC_EW_1422","4","Traditional high streets and market towns","4.2","Indie high streets"
"101","RC_EW_1430","4","Traditional high streets and market towns","4.2","Indie high streets"
"102","RC_EW_1431","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"103","RC_EW_1436","4","Traditional high streets and market towns","4.2","Indie high streets"
"104","RC_EW_1446","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"105","RC_EW_1447","4","Traditional high streets and market towns","4.2","Indie high streets"
"106","RC_EW_1451","4","Traditional high streets and market towns","4.2","Indie high streets"
"107","RC_EW_1459","4","Traditional high streets and market towns","4.2","Indie high streets"
"108","RC_EW_1463","4","Traditional high streets and market towns","4.2","Indie high streets"
"109","RC_EW_1467","4","Traditional high streets and market towns","4.2","Indie high streets"
"110","RC_EW_1475","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"111","RC_EW_1476","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"112","RC_EW_1487","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"113","RC_EW_1490","2","Retail and shopping parks","2.2","Secondary retail parks and shopping centres"
"114","RC_EW_1492","4","Traditional high streets and market towns","4.2","Indie high streets"
"115","RC_EW_1494","4","Traditional high streets and market towns","4.2","Indie high streets"
"116","RC_EW_1496","4","Traditional high streets and market towns","4.2","Indie high streets"
"117","RC_EW_1506","4","Traditional high streets and market towns","4.2","Indie high streets"
"118","RC_EW_1511","2","Retail and shopping parks","2.2","Secondary retail parks and shopping centres"
"119","RC_EW_1521","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"120","RC_EW_1528","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"121","RC_EW_1529","4","Traditional high streets and market towns","4.2","Indie high streets"
"122","RC_EW_1530","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"123","RC_EW_1532","4","Traditional high streets and market towns","4.2","Indie high streets"
"124","RC_EW_1542","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"125","RC_EW_1545","4","Traditional high streets and market towns","4.2","Indie high streets"
"126","RC_EW_1553","4","Traditional high streets and market towns","4.2","Indie high streets"
"127","RC_EW_156","4","Traditional high streets and market towns","4.2","Indie high streets"
"128","RC_EW_1561","4","Traditional high streets and market towns","4.2","Indie high streets"
"129","RC_EW_1563","4","Traditional high streets and market towns","4.2","Indie high streets"
"130","RC_EW_1566","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"131","RC_EW_1570","4","Traditional high streets and market towns","4.2","Indie high streets"
"132","RC_EW_1574","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"133","RC_EW_1578","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"134","RC_EW_1581","4","Traditional high streets and market towns","4.2","Indie high streets"
"135","RC_EW_1583","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"136","RC_EW_1593","3","Leading comparison and leisure destinations","3.1","Large regional retail and leisure destinations"
"137","RC_EW_16","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"138","RC_EW_161","4","Traditional high streets and market towns","4.2","Indie high streets"
"139","RC_EW_1620","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"140","RC_EW_163","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"141","RC_EW_1635","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"142","RC_EW_1637","2","Retail and shopping parks","2.2","Secondary retail parks and shopping centres"
"143","RC_EW_1641","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"144","RC_EW_1647","4","Traditional high streets and market towns","4.2","Indie high streets"
"145","RC_EW_1648","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"146","RC_EW_1652","4","Traditional high streets and market towns","4.2","Indie high streets"
"147","RC_EW_1658","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"148","RC_EW_167","4","Traditional high streets and market towns","4.2","Indie high streets"
"149","RC_EW_1678","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"150","RC_EW_1683","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"151","RC_EW_1693","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"152","RC_EW_1699","4","Traditional high streets and market towns","4.2","Indie high streets"
"153","RC_EW_171","4","Traditional high streets and market towns","4.2","Indie high streets"
"154","RC_EW_1710","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"155","RC_EW_1714","4","Traditional high streets and market towns","4.2","Indie high streets"
"156","RC_EW_1724","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"157","RC_EW_1730","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"158","RC_EW_1731","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"159","RC_EW_1734","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"160","RC_EW_174","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"161","RC_EW_1740","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"162","RC_EW_1742","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"163","RC_EW_1744","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"164","RC_EW_1753","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"165","RC_EW_1755","4","Traditional high streets and market towns","4.2","Indie high streets"
"166","RC_EW_1760","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"167","RC_EW_1765","4","Traditional high streets and market towns","4.2","Indie high streets"
"168","RC_EW_1771","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"169","RC_EW_1781","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"170","RC_EW_1786","4","Traditional high streets and market towns","4.2","Indie high streets"
"171","RC_EW_1787","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"172","RC_EW_1789","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"173","RC_EW_1796","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"174","RC_EW_18","4","Traditional high streets and market towns","4.2","Indie high streets"
"175","RC_EW_1804","4","Traditional high streets and market towns","4.2","Indie high streets"
"176","RC_EW_1806","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"177","RC_EW_1807","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"178","RC_EW_1810","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"179","RC_EW_1819","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"180","RC_EW_1821","4","Traditional high streets and market towns","4.2","Indie high streets"
"181","RC_EW_1824","4","Traditional high streets and market towns","4.2","Indie high streets"
"182","RC_EW_183","3","Leading comparison and leisure destinations","3.1","Large regional retail and leisure destinations"
"183","RC_EW_1830","3","Leading comparison and leisure destinations","3.1","Large regional retail and leisure destinations"
"184","RC_EW_1834","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"185","RC_EW_1835","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"186","RC_EW_1837","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"187","RC_EW_184","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"188","RC_EW_1845","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"189","RC_EW_1846","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"190","RC_EW_1859","4","Traditional high streets and market towns","4.2","Indie high streets"
"191","RC_EW_1865","2","Retail and shopping parks","2.2","Secondary retail parks and shopping centres"
"192","RC_EW_1866","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"193","RC_EW_1872","2","Retail and shopping parks","2.2","Secondary retail parks and shopping centres"
"194","RC_EW_1873","4","Traditional high streets and market towns","4.2","Indie high streets"
"195","RC_EW_1876","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"196","RC_EW_188","2","Retail and shopping parks","2.2","Secondary retail parks and shopping centres"
"197","RC_EW_1881","4","Traditional high streets and market towns","4.2","Indie high streets"
"198","RC_EW_1885","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"199","RC_EW_1890","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"200","RC_EW_1897","4","Traditional high streets and market towns","4.2","Indie high streets"
"201","RC_EW_1921","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"202","RC_EW_1922","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"203","RC_EW_1923","3","Leading comparison and leisure destinations","3.1","Large regional retail and leisure destinations"
"204","RC_EW_1927","3","Leading comparison and leisure destinations","3.1","Large regional retail and leisure destinations"
"205","RC_EW_1935","4","Traditional high streets and market towns","4.2","Indie high streets"
"206","RC_EW_1937","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"207","RC_EW_1938","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"208","RC_EW_1941","4","Traditional high streets and market towns","4.2","Indie high streets"
"209","RC_EW_1951","4","Traditional high streets and market towns","4.2","Indie high streets"
"210","RC_EW_1953","4","Traditional high streets and market towns","4.2","Indie high streets"
"211","RC_EW_1956","3","Leading comparison and leisure destinations","3.1","Large regional retail and leisure destinations"
"212","RC_EW_1961","4","Traditional high streets and market towns","4.2","Indie high streets"
"213","RC_EW_1967","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"214","RC_EW_1975","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"215","RC_EW_1979","3","Leading comparison and leisure destinations","3.1","Large regional retail and leisure destinations"
"216","RC_EW_1980","4","Traditional high streets and market towns","4.2","Indie high streets"
"217","RC_EW_1983","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"218","RC_EW_1988","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"219","RC_EW_20","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"220","RC_EW_2017","4","Traditional high streets and market towns","4.2","Indie high streets"
"221","RC_EW_2033","4","Traditional high streets and market towns","4.2","Indie high streets"
"222","RC_EW_2036","4","Traditional high streets and market towns","4.2","Indie high streets"
"223","RC_EW_2043","3","Leading comparison and leisure destinations","3.1","Large regional retail and leisure destinations"
"224","RC_EW_2048","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"225","RC_EW_2049","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"226","RC_EW_2054","4","Traditional high streets and market towns","4.2","Indie high streets"
"227","RC_EW_2060","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"228","RC_EW_2067","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"229","RC_EW_2068","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"230","RC_EW_2080","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"231","RC_EW_2085","4","Traditional high streets and market towns","4.2","Indie high streets"
"232","RC_EW_2095","3","Leading comparison and leisure destinations","3.1","Large regional retail and leisure destinations"
"233","RC_EW_21","4","Traditional high streets and market towns","4.2","Indie high streets"
"234","RC_EW_2112","3","Leading comparison and leisure destinations","3.1","Large regional retail and leisure destinations"
"235","RC_EW_2118","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"236","RC_EW_2121","3","Leading comparison and leisure destinations","3.1","Large regional retail and leisure destinations"
"237","RC_EW_2126","4","Traditional high streets and market towns","4.2","Indie high streets"
"238","RC_EW_2128","4","Traditional high streets and market towns","4.2","Indie high streets"
"239","RC_EW_2129","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"240","RC_EW_2141","3","Leading comparison and leisure destinations","3.1","Large regional retail and leisure destinations"
"241","RC_EW_2144","4","Traditional high streets and market towns","4.2","Indie high streets"
"242","RC_EW_2146","4","Traditional high streets and market towns","4.2","Indie high streets"
"243","RC_EW_215","4","Traditional high streets and market towns","4.2","Indie high streets"
"244","RC_EW_2151","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"245","RC_EW_2154","4","Traditional high streets and market towns","4.2","Indie high streets"
"246","RC_EW_2157","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"247","RC_EW_216","4","Traditional high streets and market towns","4.2","Indie high streets"
"248","RC_EW_2179","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"249","RC_EW_2183","2","Retail and shopping parks","2.2","Secondary retail parks and shopping centres"
"250","RC_EW_2185","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"251","RC_EW_2188","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"252","RC_EW_2189","4","Traditional high streets and market towns","4.2","Indie high streets"
"253","RC_EW_219","4","Traditional high streets and market towns","4.2","Indie high streets"
"254","RC_EW_2192","3","Leading comparison and leisure destinations","3.1","Large regional retail and leisure destinations"
"255","RC_EW_2199","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"256","RC_EW_22","4","Traditional high streets and market towns","4.2","Indie high streets"
"257","RC_EW_2201","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"258","RC_EW_2204","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"259","RC_EW_2212","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"260","RC_EW_2217","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"261","RC_EW_2223","4","Traditional high streets and market towns","4.2","Indie high streets"
"262","RC_EW_2228","2","Retail and shopping parks","2.1","Primary shopping centres and premium destinations"
"263","RC_EW_223","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"264","RC_EW_2230","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"265","RC_EW_2232","4","Traditional high streets and market towns","4.2","Indie high streets"
"266","RC_EW_2239","4","Traditional high streets and market towns","4.2","Indie high streets"
"267","RC_EW_2240","3","Leading comparison and leisure destinations","3.1","Large regional retail and leisure destinations"
"268","RC_EW_2245","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"269","RC_EW_2246","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"270","RC_EW_2247","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"271","RC_EW_2251","3","Leading comparison and leisure destinations","3.1","Large regional retail and leisure destinations"
"272","RC_EW_2253","4","Traditional high streets and market towns","4.2","Indie high streets"
"273","RC_EW_2264","4","Traditional high streets and market towns","4.2","Indie high streets"
"274","RC_EW_2265","4","Traditional high streets and market towns","4.2","Indie high streets"
"275","RC_EW_227","4","Traditional high streets and market towns","4.2","Indie high streets"
"276","RC_EW_2272","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"277","RC_EW_2275","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"278","RC_EW_2282","4","Traditional high streets and market towns","4.2","Indie high streets"
"279","RC_EW_2289","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"280","RC_EW_2294","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"281","RC_EW_23","4","Traditional high streets and market towns","4.2","Indie high streets"
"282","RC_EW_2308","4","Traditional high streets and market towns","4.2","Indie high streets"
"283","RC_EW_231","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"284","RC_EW_2314","4","Traditional high streets and market towns","4.2","Indie high streets"
"285","RC_EW_2317","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"286","RC_EW_2328","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"287","RC_EW_2329","4","Traditional high streets and market towns","4.2","Indie high streets"
"288","RC_EW_2330","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"289","RC_EW_2335","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"290","RC_EW_2337","4","Traditional high streets and market towns","4.2","Indie high streets"
"291","RC_EW_2338","4","Traditional high streets and market towns","4.2","Indie high streets"
"292","RC_EW_2341","4","Traditional high streets and market towns","4.2","Indie high streets"
"293","RC_EW_2342","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"294","RC_EW_2347","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"295","RC_EW_2355","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"296","RC_EW_2361","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"297","RC_EW_2368","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"298","RC_EW_2372","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"299","RC_EW_2380","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"300","RC_EW_2382","2","Retail and shopping parks","2.1","Primary shopping centres and premium destinations"
"301","RC_EW_2387","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"302","RC_EW_239","4","Traditional high streets and market towns","4.2","Indie high streets"
"303","RC_EW_2397","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"304","RC_EW_24","4","Traditional high streets and market towns","4.2","Indie high streets"
"305","RC_EW_2400","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"306","RC_EW_2404","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"307","RC_EW_2406","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"308","RC_EW_2408","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"309","RC_EW_2409","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"310","RC_EW_241","4","Traditional high streets and market towns","4.2","Indie high streets"
"311","RC_EW_2417","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"312","RC_EW_2419","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"313","RC_EW_2422","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"314","RC_EW_2423","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"315","RC_EW_2426","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"316","RC_EW_2434","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"317","RC_EW_2437","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"318","RC_EW_2439","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"319","RC_EW_2451","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"320","RC_EW_2465","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"321","RC_EW_2467","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"322","RC_EW_2471","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"323","RC_EW_2474","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"324","RC_EW_2478","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"325","RC_EW_248","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"326","RC_EW_2481","3","Leading comparison and leisure destinations","3.1","Large regional retail and leisure destinations"
"327","RC_EW_2484","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"328","RC_EW_2486","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"329","RC_EW_2489","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"330","RC_EW_2490","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"331","RC_EW_2498","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"332","RC_EW_2502","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"333","RC_EW_2504","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"334","RC_EW_2508","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"335","RC_EW_251","4","Traditional high streets and market towns","4.2","Indie high streets"
